Ticker,Company Name,monthly_return,capm_beta,book_price,CAP,GPM
CUDA,"Barracuda Networks, Inc.",-3.56,3.2318256,0.00520911,1287.9076,78.116486
BAX,Baxter International Inc.,0.19,0.6949596,0.23829833,34172.477,42.339863
BBT,BB&T Corporation,#N/A,1.0057931,0.6730802,37031.953,#N/A
BDX,"Becton, Dickinson and Company",#N/A,1.0463088,#N/A,44591.355,47.99327
BBBY,Bed Bath & Beyond Inc.,-11.12,1.0338612,0.93418574,3361.8896,37.462677
BELFB,Bel Fuse Inc. Class B,1.64,0.83418834,0.41802296,366.07916,25.313858
BDC,Belden Inc.,-1.74,2.2500803,0.43324935,3406.1775,37.973423
BEL,Belmond Ltd. Class A,-3.48,1.1782849,0.5128162,1395.6566,46.802433
BMS,"Bemis Company, Inc.",-2.05,0.9384347,0.30184355,4137.7563,21.631203
BHE,"Benchmark Electronics, Inc.",-7.22,0.4929684,0.8943526,1702.2069,8.726793
BRK.B,Berkshire Hathaway Inc. Class B,-0.7,0.8649376,0.61377317,452233.06,24.12766
BBY,"Best Buy Co., Inc.",-2.6,1.4080607,0.27038625,17088,23.548967
BGFV,Big 5 Sporting Goods Corporation,-11.82,-0.26585424,1.4668516,164.27742,31.771141
BIG,"Big Lots, Inc.",-3.92,0.9426951,0.28650388,2260.9219,38.054077
BH,Biglari Holdings Inc.,3.72,0.35988414,0.71991044,689.11475,18.688564
BBG,Bill Barrett Corporation,8.82,3.5979185,1.5310298,327.2626,-13.003646
BIO,"Bio-Rad Laboratories, Inc. Class A",-2.05,0.8776313,0.39791977,6582.224,56.745136
TECH,Bio-Techne Corporation,4.17,0.7385227,0.19402362,4515.9717,62.742287
BIIB,Biogen Inc.,-1.99,0.71185833,0.1804216,66217.66,82.2778
BEAT,"BioTelemetry, Inc.",-8.82,0.57115114,0.16920167,948.55786,62.136395
BIVV,"Bioverativ, Inc.",-1.98,2.7771325,0.09280991,6174.0596,73.191345
BJRI,"BJ's Restaurants, Inc.",1.68,0.91102064,0.38831407,656.16705,12.82551
BBOX,Black Box Corporation,-3.59,0.571088,3.0543602,49.198498,27.300755
BKH,Black Hills Corporation,-4.66,0.78498745,0.4634809,3682.7678,26.722599
BLKB,"Blackbaud, Inc.",8.73,0.87341046,0.051439874,4221.2104,53.19472
BLK,"BlackRock, Inc.",1.75,1.7970253,0.38259026,72248.74,88.153435
BCOR,"Blucora, Inc.",-10.32,-0.27031383,0.45925355,1165.748,41.99131
BOBE,"Bob Evans Farms, Inc.",-1.38,0.54979414,0.21703957,1544.8518,25.738144
BA,Boeing Company,-0.85,1.2241068,0.005131498,151852.6,14.57212
BOFI,"BofI Holding, Inc",#N/A,0.38141856,0.48515123,1812.2855,#N/A
BCC,Boise Cascade Co.,-0.07,2.097688,0.4265986,1345.7441,11.248038
BWA,BorgWarner Inc.,0.48,1.7456211,0.28759205,10801.256,21.31494
SAM,"Boston Beer Company, Inc. Class A",7.95,0.5634948,0.20279108,1835.0912,50.71124
BPFH,"Boston Private Financial Holdings, Inc.",#N/A,1.0576361,0.5382319,1391.5612,#N/A
BXP,"Boston Properties, Inc.",-2.4,0.6370883,0.29975355,18963.12,38.602806
BSX,Boston Scientific Corporation,-3.91,1.0061612,0.17566049,40042.7,63.71333
EPAY,"Bottomline Technologies (de), Inc.",0.41,1.1499076,0.21486875,1191.8107,46.747105
BYD,Boyd Gaming Corporation,6.72,1.8293252,0.28305668,2941.8542,37.363827
BRC,Brady Corporation Class A,-0.63,1.1695315,0.3583114,1948.8634,50.190426
BGG,Briggs & Stratton Corporation,3.65,0.7796778,0.5188357,1005.32996,21.57837
BHF,"Brighthouse Financial, Inc.",#N/A,8.521493,1.995571,7282.205,#N/A
BCO,Brink's Company,-7.56,1.6997203,0.08859396,4254.625,19.724564
EAT,"Brinker International, Inc.",-3.44,0.16025436,-0.3317528,1543.3214,13.064848
BMY,Bristol-Myers Squibb Company,-3.49,1.1893404,0.15766713,104323.24,74.612656
BRS,Bristow Group Inc.,-0.26,2.895105,3.8782468,330.0909,10.386058
AVGO,Broadcom Limited,3.98,1.0291111,0.17973472,98847.94,31.15559
BR,"Broadridge Financial Solutions, Inc.",2.71,0.9847842,0.10028293,9415.53,26.384321
BRCD,"Brocade Communications Systems, Inc.",-2.92,0.53028154,0.54331523,4944.2524,63.941963
BRKL,"Brookline Bancorp, Inc.",#N/A,0.96216106,0.6357951,1195.4025,#N/A
BRKS,"Brooks Automation, Inc.",7.46,1.0445108,0.23415786,2117.7407,33.423756
BRO,"Brown & Brown, Inc.",1.09,0.7812865,0.3380043,6723.3726,93.90557
BF.B,Brown-Forman Corporation Class B,1.74,0.94164973,0.06255541,20865.916,67.03929
BC,Brunswick Corporation,-7.47,1.8684644,0.3183311,4907.8413,27.352125
BKE,"Buckle, Inc.",-1.53,0.93469304,0.5382782,823.0332,40.740482
BWLD,"Buffalo Wild Wings, Inc.",6.56,0.7828536,0.2509802,1639.645,13.940702
BCR,"C. R. Bard, Inc.",-0.2,0.5325013,0.07025495,23362.006,63.322563
CHRW,"C.H. Robinson Worldwide, Inc.",0.67,0.44792202,0.11339116,10705.672,9.225149
CA,"CA, Inc.",-3.4,0.7395702,0.42499006,13809.873,77.87413
CABO,"Cable One, Inc.",-2.37,0.21815337,0.11217636,4134.2056,45.50911
CBT,Cabot Corporation,4.77,1.1040767,0.3377098,3453.1465,25.342182
CCMP,Cabot Microelectronics Corporation,#N/A,1.4409438,#N/A,2022.9294,48.553253
COG,Cabot Oil & Gas Corporation,0.88,0.5105636,0.19928098,12372.073,2.4119635
CACI,CACI International Inc Class A,0.82,1.6027436,0.5100614,3408.7798,30.956871
CDNS,"Cadence Design Systems, Inc.",4.66,0.9297913,0.061799992,11144.749,84.88026
CALM,"Cal-Maine Foods, Inc.",5.01,0.72513294,0.38549885,1996.3503,4.239126
CAMP,CalAmp Corp.,-2.48,1.6474454,0.20327727,827.72327,36.539524
CAA,"CalAtlantic Group, Inc.",21.29,1.5405805,0.74524075,4036.7856,22.74813
CVGW,"Calavo Growers, Inc.",-0.64,0.6483344,0.16657771,1283.4286,11.492618
CAL,"Caleres, Inc.",-7.89,1.0089334,0.522164,1311.3179,41.17258
CCC,Calgon Carbon Corporation,-0.15,1.2201197,0.34609234,1089.4703,25.262415
CWT,California Water Service Group,5.42,0.72169447,0.32735783,1831.7723,36.546432
ELY,Callaway Golf Company,-1.1,1.0918334,0.44098797,1361.7854,44.430443
CPE,Callon Petroleum Company,-2.04,1.3661643,0.7774611,2268.3096,38.589798
CBM,Cambrex Corporation,-15.03,2.252332,0.28982583,1799.4694,41.623867
CPT,Camden Property Trust,-1.52,0.4342272,0.37768984,8475.129,33.318428
CPB,Campbell Soup Company,-0.19,0.38273457,0.11480976,14092.82,38.517113
CMD,Cantel Medical Corp.,1.44,1.2147204,0.12801391,3929.6138,45.917
CPLA,Capella Education Company,9.45,0.39040038,0.22150707,816.3356,59.167187
COF,Capital One Financial Corporation,#N/A,1.302548,1.0733614,41010.957,#N/A
CMO,Capstead Mortgage Corporation,-6.63,0.3014779,1.238601,927.41327,99.93636
CRR,CARBO Ceramics Inc.,-3.47,1.9128938,2.7701647,234.2816,-78.32335
CAH,"Cardinal Health, Inc.",-6.39,0.87781775,0.34805015,21146.719,4.7323756
CATM,Cardtronics plc Class A,-1.37,0.76049083,0.44029468,1051.1042,27.82377
CECO,Career Education Corporation,0.81,2.6673207,0.439342,717.88257,63.394386
CTRE,CareTrust REIT Inc,-1.58,0.713769,0.36932185,1436.8914,59.53343
CSL,Carlisle Companies Incorporated,4.86,0.8618188,0.34954968,6194.219,31.487724
KMX,"CarMax, Inc.",-2.06,1.5123688,0.22188611,13790.125,13.75293
CCL.U,Carnival Corporation,0.2,0.74489146,0.46882582,46554.97,32.143513
CRS,Carpenter Technology Corporation,1.45,2.099755,0.5148977,2247.9636,17.88993
CRZO,"Carrizo Oil & Gas, Inc.",1.06,2.20543,0.02035942,1127.7676,29.512342
CARS,"Cars.com, Inc.",#N/A,-6.3534927,#N/A,1904.9686,66.32127
CRI,"Carter's, Inc.",-2.61,0.3312328,0.16645332,4682.657,43.109398
CASY,"Casey's General Stores, Inc.",1.93,0.45060036,0.26807314,4171.2373,19.763071
CTLT,Catalent Inc,3.05,1.4822191,0.13584624,4991.99,33.747707
CAT,Caterpillar Inc.,4.5,1.2915612,0.16494486,74194.164,23.499493
CATY,Cathay General Bancorp,#N/A,1.3351539,0.5494888,3248.828,#N/A
CATO,Cato Corporation Class A,-2.7,1.1268644,1.1220756,336.55707,34.693573
CVCO,"Cavco Industries, Inc.",3.03,1.6299675,0.27946222,1330.7269,23.561604
CBL,"CBL & Associates Properties, Inc.",-5.37,1.2351465,0.917607,1435.503,44.540455
CBOE,Cboe Global Markets Inc,1.85,0.49720642,0.034596514,12138.226,65.86659
CBG,"CBRE Group, Inc. Class A",1.03,1.8339161,0.22730556,12800.78,27.394798
CBS,CBS Corporation Class B,-3.64,1.617277,0.15954888,23374,37.862675
CDK,CDK Global Inc,-0.9,0.7466007,-0.008293626,8769.51,51.135033
